Year,Value
1993,0.44
1994,0.29
1995,0.29
1996,0.6
1997,0.39
1998,0.99
1999,0.47
2000,0.18
2001,0.3
2002,0.79
2003,0.79
2004,0.61
2005,1.12
2006,0.6
2007,0.76
2008,0.53
2009,0.97
2010,0.56
2011,0.18
2012,0.39
2013,1.31
2014,1.08
2015,1.03
2016,1.15
2017,1.09
2018,1.1
2019,1.34
