Year,Value
1993,0.33
1994,0.55
1995,1.24
1996,0.33
1997,0.8
1998,0.85
1999,0.93
2000,0.77
2001,0.98
2002,1.24
2003,1.07
2004,1.13
2005,1.2
2006,0.98
2007,1.68
2008,1.37
2009,0.97
2010,1.05
2011,1.08
2012,0.89
2013,1.35
2014,1.05
2015,1.72
2016,1.62
2017,1.7
2018,1.34
2019,1.67
