Year,Value
1993,0.01
1994,0.85
1995,0.63
1996,-0.14
1997,0.48
1998,0.61
1999,1.08
2000,1.27
2001,0.88
2002,1.11
2003,0.9
2004,0.76
2005,0.79
2006,1.08
2007,1.39
2008,1.28
2009,1.08
2010,0.6
2011,1.23
2012,0.99
2013,1.06
2014,1.8
2015,1.73
2016,1.5
2017,1.4
2018,1.88
2019,1.84
