Year,Value
1993,0.22
1994,0.41
1995,0.44
1996,-0.22
1997,0.45
1998,1.55
1999,1.09
2000,0.77
2001,1.19
2002,0.69
2003,0.87
2004,0.51
2005,1.23
2006,1.5
2007,0.83
2008,0.29
2009,0.4
2010,1.45
2011,0.92
2012,1.54
2013,0.53
2014,0.59
2015,1.38
2016,1.92
2017,1.49
2018,0.88
2019,0.92
